name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,4.55741,8.46187,222384,22,,0,False
tests-examples/textbook/10,False,2.5112,7.73617,239020,93,,2,False
tests-examples/textbook/11,False,2.11708,7.63067,230900,5,,0,False
tests-examples/textbook/13,False,2.13167,7.40832,239168,1,,0,False
tests-examples/textbook/14,False,2.9097,8.26943,236456,188,,2,False
tests-examples/textbook/15,False,2.48229,7.66771,257156,76,,2,False
tests-examples/textbook/16,False,508.324,513.544,344708,16828,,0,False
tests-examples/textbook/17,False,6.78282,10.797,241932,438,,0,False
tests-examples/textbook/18,False,2.24994,7.55517,230740,25,,0,False
tests-examples/textbook/19,False,33.2744,38.8113,219004,3596,,0,False
tests-examples/textbook/2,False,29.0032,34.294,260476,4240,,0,False
tests-examples/textbook/20,True,600.04,604.967,374088,,,,False
tests-examples/textbook/21,False,4.71269,8.56372,215316,9,,0,False
tests-examples/textbook/22,True,600.038,605.214,343236,,,,False
tests-examples/textbook/24,False,3.91277,8.27522,204084,,,1,False
tests-examples/textbook/25,True,600.042,605.406,346692,,,,False
tests-examples/textbook/28,False,4.28352,8.24724,234052,,,1,False
tests-examples/textbook/3,False,10.1074,15.3783,231644,1842,,0,False
tests-examples/textbook/31,False,71.1657,76.5171,246124,7158,,2,False
tests-examples/textbook/34,True,600.041,604.065,348028,,,,False
tests-examples/textbook/35,False,43.7902,47.5527,235768,5110,,0,False
tests-examples/textbook/4,False,5.56429,9.97727,226168,450,,0,False
tests-examples/textbook/5,True,600.04,605.195,346032,,,,False
tests-examples/textbook/6,False,5.68553,9.45217,238188,246,,0,False
tests-examples/textbook/7,False,1.95109,7.23421,260084,1,,0,False
tests-examples/textbook/8,False,2.06928,7.46094,207800,10,,0,False
tests-examples/textbook/9,False,395.626,400.988,286100,,,0,False
