name,timeout,real,cpu,ram,programs,gt,status,memout
tests-examples/textbook/1,False,4.91776,7.30016,197668,2,,0,False
tests-examples/textbook/10,False,2.66928,7.01326,198524,6,,0,False
tests-examples/textbook/11,False,2.34165,6.6812,197232,5,,0,False
tests-examples/textbook/13,False,2.30316,6.63517,197752,1,,0,False
tests-examples/textbook/14,False,3.65577,7.97846,199216,188,,0,False
tests-examples/textbook/15,False,3.04387,7.37144,198772,61,,0,False
tests-examples/textbook/16,True,600.035,604.363,332588,,,,False
tests-examples/textbook/17,False,6.58133,8.76815,194872,182,,0,False
tests-examples/textbook/18,False,3.0336,7.42636,198048,35,,0,False
tests-examples/textbook/19,False,26.1413,30.5127,224800,2556,,0,False
tests-examples/textbook/2,False,3.94279,8.27189,200072,111,,0,False
tests-examples/textbook/20,True,600.034,604.337,335776,,,,False
tests-examples/textbook/21,False,5.02882,7.36381,196428,1,,0,False
tests-examples/textbook/22,True,600.034,604.311,342580,,,,False
tests-examples/textbook/24,False,4.78956,7.36442,197212,14,,0,False
tests-examples/textbook/25,True,600.037,604.378,347360,,,,False
tests-examples/textbook/26,True,600.036,602.252,319092,,,,False
tests-examples/textbook/28,False,4.72472,7.40325,197204,2,,2,False
tests-examples/textbook/29,True,600.036,604.101,360432,,,,False
tests-examples/textbook/3,False,6.50476,8.9318,196868,167,,0,False
tests-examples/textbook/31,False,3.64022,7.87311,199536,169,,2,False
tests-examples/textbook/34,False,101.008,105.193,234636,2817,,0,False
tests-examples/textbook/35,False,82.4924,84.89,241216,7086,,0,False
tests-examples/textbook/4,False,11.9706,14.5419,231564,1158,,0,False
tests-examples/textbook/5,True,600.035,604.367,309664,,,,False
tests-examples/textbook/6,False,7.07951,9.4624,198404,270,,0,False
tests-examples/textbook/7,False,2.33135,6.65862,195788,1,,0,False
tests-examples/textbook/8,False,2.52822,6.85683,198484,13,,0,False
tests-examples/textbook/9,False,30.8284,35.0564,231100,3107,,0,False
